file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_194.out 0.710705 0.719627 0.00892123 0.00701254 -62.6781 -64.5885 -1.91041 0.261485 0.171267 0.0150388 0.0163155 0.00146328 0.000840194 -0.00162632 7.37239e-06 -1.55182e-05
autoRnd_195.out 0.688414 0.70833 0.0199161 0.00697632 -4.93731 -4.33205 0.605258 0.147423 0.161223 0.0163512 0.0153462 0.00161081 0.00180805 -0.000156191 1.74598e-05 -1.32263e-06
autoRnd_196.out 0.234523 0.270939 0.0364158 0.00688205 12.3136 28.1866 15.873 0.294632 0.131456 0.0152923 0.0125189 0.00147932 0.000460605 0.000100543 4.42262e-06 2.37006e-06
autoRnd_197.out 0.561085 0.566766 0.00568133 0.00704909 95.7279 93.8902 -1.83768 0.169803 0.129386 0.0130321 0.0123127 0.00128979 -9.44227e-05 0.00094136 -6.10649e-07 8.97997e-06
autoRnd_198.out 0.361868 0.341163 -0.0207055 0.00700835 137.526 126.707 -10.8194 0.285581 0.152209 0.0166806 0.0144931 0.00153316 -0.000677663 0.0006204 -4.53111e-06 6.0775e-06
autoRnd_199.out 0.745324 0.737854 -0.00747024 0.00704662 -167.898 -168.816 -0.917971 0.160238 0.154599 0.0122475 0.0147343 0.00117918 -0.00137987 -0.000295861 -1.25763e-05 -2.48646e-06
autoRnd_2.out 0.420514 0.480311 0.0597963 0.00688341 -157.055 -159.432 -2.37709 0.241418 0.156255 0.0201215 0.0148811 0.00196803 -0.00121753 -0.000515427 -1.31699e-05 -4.94179e-06
autoRnd_20.out 0.501635 0.484604 -0.0170313 0.00701706 9.99946 5.65599 -4.34347 0.225296 0.139607 0.0189568 0.0132923 0.00184771 0.00130741 0.000230519 1.18441e-05 1.17301e-06
autoRnd_200.out 0.321636 0.383664 0.0620272 0.0068499 -105.808 -108.262 -2.45388 0.241665 0.197562 0.0097839 0.0188037 0.000950557 -0.000169365 -0.000598185 -2.14895e-06 -6.51218e-06
autoRnd_201.out 0.328332 0.369953 0.0416213 0.00695819 -78.2023 -75.116 3.08626 0.223836 0.202443 0.00968395 0.0192682 0.000968783 0.000131604 -0.00063008 1.77384e-06 -6.67411e-06
autoRnd_202.out 0.714319 0.712146 -0.00217279 0.00705925 -43.2323 -46.3391 -3.1068 0.285551 0.148675 0.0148715 0.014138 0.00140512 0.00115071 -0.00108181 9.76705e-06 -1.02346e-05
autoRnd_203.out 0.738447 0.740183 0.00173653 0.00704438 37.1856 33.4808 -3.70486 0.271795 0.152726 0.0191167 0.014545 0.00184239 0.00171763 0.00130307 1.65439e-05 1.09422e-05
autoRnd_204.out 0.475496 0.492642 0.017146 0.00703442 102.885 100.649 -2.23678 0.222621 0.1418 0.0167061 0.0134937 0.00166461 -0.000251194 0.00109805 -2.04478e-06 1.0875e-05
autoRnd_205.out 0.474032 0.497566 0.0235342 0.00697113 87.1307 90.9334 3.80273 0.162597 0.137731 0.0155503 0.0131092 0.00154957 5.08218e-05 0.00101398 -1.64654e-07 1.0106e-05
autoRnd_206.out 0.152303 0.0890958 -0.0632068 0.00625845 16.3098 36.869 20.5592 0.243226 0.169645 0.0107782 0.0161519 0.00096823 0.000267273 7.82055e-05 1.11469e-06 8.35993e-07
autoRnd_207.out 0.532551 0.536872 0.0043206 0.00697548 -111.446 -116.946 -5.49983 0.233937 0.172456 0.010439 0.0164186 0.000980134 -0.000350534 -0.000892355 -3.91497e-06 -7.70161e-06
autoRnd_208.out 0.521155 0.491846 -0.0293089 0.0070503 -77.506 -81.4817 -3.97567 0.231304 0.150194 0.0161914 0.0143061 0.00147996 0.00027418 -0.00123736 1.54251e-06 -1.02987e-05
autoRnd_209.out 0.216718 0.182796 -0.0339217 0.00674291 61.8968 46.166 -15.7308 0.269218 0.169073 0.0214121 0.016104 0.00208332 0.000369576 0.000692062 4.24739e-06 4.42388e-06
